"x"
"393"	"ENSMUSG00000022450.5"
"394"	"ENSMUSG00000022454.10"
"395"	"ENSMUSG00000022456.9"
"396"	"ENSMUSG00000022468.5"
"397"	"ENSMUSG00000022483.10"
"398"	"ENSMUSG00000022490.6"
"399"	"ENSMUSG00000022508.5"
"400"	"ENSMUSG00000022512.2"
"401"	"ENSMUSG00000022523.9"
"402"	"ENSMUSG00000022551.7"
"403"	"ENSMUSG00000022565.9"
"404"	"ENSMUSG00000022574.6"
"405"	"ENSMUSG00000022577.10"
"406"	"ENSMUSG00000022579.4"
"407"	"ENSMUSG00000022658.10"
"408"	"ENSMUSG00000022665.8"
"409"	"ENSMUSG00000022672.8"
"410"	"ENSMUSG00000022676.6"
"411"	"ENSMUSG00000022686.8"
"412"	"ENSMUSG00000022687.5"
"413"	"ENSMUSG00000022708.10"
"414"	"ENSMUSG00000022797.9"
"415"	"ENSMUSG00000022803.6"
"416"	"ENSMUSG00000022816.5"
"417"	"ENSMUSG00000022820.3"
"418"	"ENSMUSG00000022822.9"
"419"	"ENSMUSG00000022836.10"
"420"	"ENSMUSG00000022868.5"
"421"	"ENSMUSG00000022875.11"
"422"	"ENSMUSG00000022893.8"
"423"	"ENSMUSG00000022894.5"
"424"	"ENSMUSG00000022899.2"
"425"	"ENSMUSG00000022949.3"
"426"	"ENSMUSG00000022995.10"
"427"	"ENSMUSG00000023004.8"
"428"	"ENSMUSG00000023020.2"
"429"	"ENSMUSG00000023052.7"
"430"	"ENSMUSG00000023064.4"
"431"	"ENSMUSG00000023067.7"
"432"	"ENSMUSG00000023078.5"
"433"	"ENSMUSG00000023089.6"
"434"	"ENSMUSG00000023191.3"
"435"	"ENSMUSG00000023216.7"
"436"	"ENSMUSG00000023224.6"
"437"	"ENSMUSG00000023232.11"
"438"	"ENSMUSG00000023274.8"
"439"	"ENSMUSG00000023391.7"
"440"	"ENSMUSG00000023411.5"
"441"	"ENSMUSG00000023484.7"
"442"	"ENSMUSG00000023764.12"
"443"	"ENSMUSG00000023826.8"
"444"	"ENSMUSG00000023828.2"
"445"	"ENSMUSG00000023829.8"
"446"	"ENSMUSG00000023830.7"
"447"	"ENSMUSG00000023845.6"
"448"	"ENSMUSG00000023861.11"
"449"	"ENSMUSG00000023873.6"
"450"	"ENSMUSG00000023885.8"
"451"	"ENSMUSG00000023886.9"
"452"	"ENSMUSG00000023902.12"
"453"	"ENSMUSG00000023904.4"
"454"	"ENSMUSG00000023905.8"
"455"	"ENSMUSG00000023906.2"
"456"	"ENSMUSG00000023911.6"
"457"	"ENSMUSG00000023913.11"
"458"	"ENSMUSG00000023918.6"
"459"	"ENSMUSG00000023921.8"
"460"	"ENSMUSG00000023926.7"
"461"	"ENSMUSG00000023953.8"
"462"	"ENSMUSG00000023959.8"
"463"	"ENSMUSG00000023961.10"
"464"	"ENSMUSG00000023963.9"
"465"	"ENSMUSG00000023979.8"
"466"	"ENSMUSG00000023982.7"
"467"	"ENSMUSG00000023993.6"
"468"	"ENSMUSG00000023994.7"
"469"	"ENSMUSG00000023995.5"
"470"	"ENSMUSG00000023999.8"
"471"	"ENSMUSG00000024007.8"
"472"	"ENSMUSG00000024008.9"
"473"	"ENSMUSG00000024011.10"
"474"	"ENSMUSG00000024014.6"
"475"	"ENSMUSG00000024026.6"
"476"	"ENSMUSG00000024034.6"
"477"	"ENSMUSG00000024039.8"
"478"	"ENSMUSG00000024042.6"
"479"	"ENSMUSG00000024043.7"
"480"	"ENSMUSG00000024050.9"
"481"	"ENSMUSG00000024084.7"
"482"	"ENSMUSG00000024085.7"
"483"	"ENSMUSG00000024099.8"
"484"	"ENSMUSG00000024114.8"
"485"	"ENSMUSG00000024121.7"
"486"	"ENSMUSG00000024132.5"
"487"	"ENSMUSG00000024136.8"
"488"	"ENSMUSG00000024137.8"
"489"	"ENSMUSG00000024140.9"
"490"	"ENSMUSG00000024155.7"
"491"	"ENSMUSG00000024160.10"
"492"	"ENSMUSG00000024165.8"
"493"	"ENSMUSG00000024169.9"
"494"	"ENSMUSG00000024170.9"
"495"	"ENSMUSG00000024172.4"
"496"	"ENSMUSG00000024173.9"
"497"	"ENSMUSG00000024186.9"
"498"	"ENSMUSG00000024201.6"
"499"	"ENSMUSG00000024208.9"
"500"	"ENSMUSG00000024210.2"
"501"	"ENSMUSG00000024225.4"
"502"	"ENSMUSG00000024298.8"
"503"	"ENSMUSG00000024299.10"
"504"	"ENSMUSG00000024331.5"
"505"	"ENSMUSG00000024339.6"
"506"	"ENSMUSG00000024346.5"
"507"	"ENSMUSG00000024376.6"
"508"	"ENSMUSG00000024409.8"
"509"	"ENSMUSG00000024421.10"
"510"	"ENSMUSG00000024471.6"
"511"	"ENSMUSG00000024501.13"
"512"	"ENSMUSG00000024502.9"
"513"	"ENSMUSG00000024503.2"
"514"	"ENSMUSG00000024529.7"
"515"	"ENSMUSG00000024542.8"
"516"	"ENSMUSG00000024548.9"
"517"	"ENSMUSG00000024598.8"
"518"	"ENSMUSG00000024600.8"
"519"	"ENSMUSG00000024608.4"
"520"	"ENSMUSG00000024610.8"
"521"	"ENSMUSG00000024617.10"
"522"	"ENSMUSG00000024620.5"
"523"	"ENSMUSG00000024659.8"
"524"	"ENSMUSG00000024661.6"
"525"	"ENSMUSG00000024679.4"
"526"	"ENSMUSG00000024736.8"
"527"	"ENSMUSG00000024747.3"
"528"	"ENSMUSG00000024766.8"
"529"	"ENSMUSG00000024772.9"
"530"	"ENSMUSG00000024800.7"
"531"	"ENSMUSG00000024803.8"
"532"	"ENSMUSG00000024827.9"
"533"	"ENSMUSG00000024899.6"
"534"	"ENSMUSG00000024901.8"
"535"	"ENSMUSG00000024922.1"
"536"	"ENSMUSG00000024937.8"
"537"	"ENSMUSG00000024942.10"
"538"	"ENSMUSG00000024990.6"
"539"	"ENSMUSG00000025004.9"
"540"	"ENSMUSG00000025019.9"
"541"	"ENSMUSG00000025081.7"
"542"	"ENSMUSG00000025094.7"
"543"	"ENSMUSG00000025161.10"
"544"	"ENSMUSG00000025185.8"
"545"	"ENSMUSG00000025204.4"
"546"	"ENSMUSG00000025207.9"
"547"	"ENSMUSG00000025213.5"
"548"	"ENSMUSG00000025215.9"
"549"	"ENSMUSG00000025219.7"
"550"	"ENSMUSG00000025255.12"
"551"	"ENSMUSG00000025278.8"
"552"	"ENSMUSG00000025283.9"
"553"	"ENSMUSG00000025287.9"
"554"	"ENSMUSG00000025289.9"
"555"	"ENSMUSG00000025290.10"
"556"	"ENSMUSG00000025348.8"
"557"	"ENSMUSG00000025362.5"
"558"	"ENSMUSG00000025381.2"
"559"	"ENSMUSG00000025407.6"
"560"	"ENSMUSG00000025488.8"
"561"	"ENSMUSG00000025489.4"
"562"	"ENSMUSG00000025504.6"
"563"	"ENSMUSG00000025525.6"
"564"	"ENSMUSG00000025558.9"
"565"	"ENSMUSG00000025579.8"
"566"	"ENSMUSG00000025610.7"
"567"	"ENSMUSG00000025651.9"
"568"	"ENSMUSG00000025701.6"
"569"	"ENSMUSG00000025780.7"
"570"	"ENSMUSG00000025781.8"
"571"	"ENSMUSG00000025784.4"
"572"	"ENSMUSG00000025804.4"
"573"	"ENSMUSG00000025810.8"
"574"	"ENSMUSG00000025823.8"
"575"	"ENSMUSG00000025889.7"
"576"	"ENSMUSG00000025905.7"
"577"	"ENSMUSG00000025927.7"
"578"	"ENSMUSG00000025931.9"
"579"	"ENSMUSG00000025964.9"
"580"	"ENSMUSG00000025969.9"
"581"	"ENSMUSG00000025981.7"
"582"	"ENSMUSG00000025991.8"
"583"	"ENSMUSG00000026042.10"
"584"	"ENSMUSG00000026043.12"
"585"	"ENSMUSG00000026051.8"
"586"	"ENSMUSG00000026087.5"
"587"	"ENSMUSG00000026100.5"
"588"	"ENSMUSG00000026116.5"
"589"	"ENSMUSG00000026147.10"
"590"	"ENSMUSG00000026163.11"
"591"	"ENSMUSG00000026185.8"
"592"	"ENSMUSG00000026193.9"
"593"	"ENSMUSG00000026208.9"
"594"	"ENSMUSG00000026226.9"
"595"	"ENSMUSG00000026235.8"
"596"	"ENSMUSG00000026249.4"
"597"	"ENSMUSG00000026295.6"
"598"	"ENSMUSG00000026308.8"
"599"	"ENSMUSG00000026315.7"
"600"	"ENSMUSG00000026335.10"
"601"	"ENSMUSG00000026358.7"
"602"	"ENSMUSG00000026365.9"
"603"	"ENSMUSG00000026368.5"
"604"	"ENSMUSG00000026389.10"
"605"	"ENSMUSG00000026413.6"
"606"	"ENSMUSG00000026414.7"
"607"	"ENSMUSG00000026418.10"
"608"	"ENSMUSG00000026459.4"
"609"	"ENSMUSG00000026478.8"
"610"	"ENSMUSG00000026479.7"
"611"	"ENSMUSG00000026494.6"
"612"	"ENSMUSG00000026511.6"
"613"	"ENSMUSG00000026532.7"
"614"	"ENSMUSG00000026535.8"
